Time,uCharge,uDischarge,Trtu,Tref,Tfre,Trtu_cool,Trtu_heat
2018-06-01 00:00:00+00:00,-9.14764647880653e-09,-9.895422061465603e-09,,,,,
2018-06-01 00:02:19.545923+00:00,-9.608429917209932e-09,-9.951957035252828e-09,,,,,
2018-06-01 00:09:40.454077+00:00,-9.857382999430711e-09,-9.982501871815314e-09,,,,,
2018-06-01 00:15:00+00:00,-8.891838551780037e-09,-9.864036173110873e-09,,,,,
2018-06-01 00:17:19.545923+00:00,-9.77178291947557e-09,-9.971999328788817e-09,,,,,
2018-06-01 00:24:40.454077+00:00,-9.83238246955803e-09,-9.979434478257959e-09,,,,,
2018-06-01 00:30:00+00:00,-9.226885572538875e-09,-9.90514415426965e-09,,,,,
2018-06-01 00:32:19.545923+00:00,-9.771782919714376e-09,-9.971999328785193e-09,,,,,
2018-06-01 00:39:40.454077+00:00,-9.832382469719218e-09,-9.979434478255514e-09,,,,,
2018-06-01 00:45:00+00:00,-9.226885576503742e-09,-9.90514415420987e-09,,,,,
2018-06-01 00:47:19.545923+00:00,-9.771782920042743e-09,-9.971999328780225e-09,,,,,
2018-06-01 00:54:40.454077+00:00,-9.832382469849266e-09,-9.979434478253535e-09,,,,,
2018-06-01 01:00:00+00:00,0.01991704269048712,-1.5191599359980461e-09,,,,,
2018-06-01 01:02:19.545923+00:00,0.01938113990863712,-1.5365372274732232e-09,,,,,
2018-06-01 01:09:40.454077+00:00,0.01764052146203471,-1.5456864459814674e-09,,,,,
2018-06-01 01:15:00+00:00,0.016334026154211864,-1.508872509875088e-09,,,,,
2018-06-01 01:17:19.545923+00:00,0.015744334241318794,-1.5423762280766876e-09,,,,,
2018-06-01 01:24:40.454077+00:00,0.013940079520680411,-1.5446019920986248e-09,,,,,
2018-06-01 01:30:00+00:00,0.012690513187174974,-1.5211643328523404e-09,,,,,
2018-06-01 01:32:19.545923+00:00,0.012877531990364526,-1.542228940453124e-09,,,,,
2018-06-01 01:39:40.454077+00:00,0.012278399726136785,-1.5445384280753866e-09,,,,,
2018-06-01 01:45:00+00:00,0.011889890691030103,-1.5210209148373172e-09,,,,,
2018-06-01 01:47:19.545923+00:00,0.012080201743469177,-1.5421870782322849e-09,,,,,
2018-06-01 01:54:40.454077+00:00,0.0120802014523689,-1.544530762107192e-09,,,,,
2018-06-01 02:00:00+00:00,0.014012629826943726,0.011190935308369229,,,,,
2018-06-01 02:02:19.545923+00:00,0.013749569990572256,0.008010175236986713,,,,,
2018-06-01 02:09:40.454077+00:00,0.01350875523243904,0.00579833974032046,,,,,
2018-06-01 02:15:00+00:00,0.013894754337882696,0.011637488405088933,,,,,
2018-06-01 02:17:19.545923+00:00,0.013774703028294788,0.006626212165172439,,,,,
2018-06-01 02:24:40.454077+00:00,0.013673241776901305,0.00553100350509089,,,,,
2018-06-01 02:30:00+00:00,0.013928969720491935,0.01053902286630435,,,,,
2018-06-01 02:32:19.545923+00:00,0.013824068821706234,0.006324148141903431,,,,,
2018-06-01 02:39:40.454077+00:00,0.01373292453357184,0.0052077024367930555,,,,,
2018-06-01 02:45:00+00:00,0.013932251380485207,0.010494119253529999,,,,,
2018-06-01 02:47:19.545923+00:00,0.013848398124217544,0.006157078217115505,,,,,
2018-06-01 02:54:40.454077+00:00,0.013766002884514395,0.0050195753582876835,,,,,
2018-06-01 03:00:00+00:00,0.015992013100518173,0.014619503566397553,,,,,
2018-06-01 03:02:19.545923+00:00,0.015151276630770311,0.010361920924051011,,,,,
2018-06-01 03:09:40.454077+00:00,0.014558979885787244,0.005829439875760355,,,,,
2018-06-01 03:15:00+00:00,0.016089545582717153,0.011013751143660636,,,,,
2018-06-01 03:17:19.545923+00:00,0.015377744083063935,0.006228796592053455,,,,,
2018-06-01 03:24:40.454077+00:00,0.015027512139859797,0.0046290772280036,,,,,
2018-06-01 03:30:00+00:00,0.01612394085746616,0.010442060994682235,,,,,
2018-06-01 03:32:19.545923+00:00,0.015457159378943021,0.005860093431421093,,,,,
2018-06-01 03:39:40.454077+00:00,0.01505779927800285,0.004335854636839535,,,,,
2018-06-01 03:45:00+00:00,0.01613418918055128,0.010311016396218516,,,,,
2018-06-01 03:47:19.545923+00:00,0.015459382996556161,0.005721455835579002,,,,,
2018-06-01 03:54:40.454077+00:00,0.015092162363706028,0.004187897975618574,,,,,
2018-06-01 04:00:00+00:00,0.025287576711719443,-2.9491664301608106e-09,293.233243520133,278.017507672674,248.558326672741,293.233243520133,293.233243520133
2018-06-01 04:02:19.545923+00:00,0.02390802264921787,-2.9527026942458243e-09,293.149999990237,278.062015952844,248.817112621108,293.149999990237,293.149999990237
2018-06-01 04:09:40.454077+00:00,0.019438818409038296,-2.9546008211448155e-09,293.149999990167,278.144834495191,249.48504546339,293.149999990167,293.149999990167
2018-06-01 04:15:00+00:00,0.01609498415981775,-2.9471699386461655e-09,293.149999990755,278.15000000866,249.827475483543,293.149999990755,293.149999990755
2018-06-01 04:17:19.545923+00:00,0.015859312922566152,-2.953935375010415e-09,293.149999990222,278.150000009509,249.939527228946,293.149999990222,293.149999990222
2018-06-01 04:24:40.454077+00:00,0.013187366715981372,-2.954397149999487e-09,293.14999999016,278.15000000964,250.143879430618,293.14999999016,293.14999999016
2018-06-01 04:30:00+00:00,0.011176823872912078,-2.94971016291753e-09,293.149999990728,278.15000000839,250.150000008904,293.149999990728,293.149999990728
2018-06-01 04:32:19.545923+00:00,0.012080200249711561,-2.9539274525656487e-09,293.149999990214,278.15000000952,250.150000009536,293.149999990214,293.149999990214
